#,Domain,Key Concern,Key Files
1,Bike Physics & Balance,"Tilt, lean, gravity, pedaling, crank, camera","bike-model.js, balance-controller.js, pedal-controller.js, chase-camera.js"
2,Race Management,"Checkpoints, timers, scoring, finish",race-manager.js
3,Levels & Routes,"Road generation, level configs, terrain","race-config.js, road-path.js, road-chunks.js"
4,World Content,"Obstacles, collectibles, billboards, scenery, trees, particles, audio","world.js, obstacles.js, collectibles.js, grass-particles.js, assets/*.mp3"
5,Onboarding & Accessibility,"Tutorial phases, DDA","game.js (tutorial), dda-manager.js"
6,Input Systems,"Keyboard, touch, gyro, gamepad API",input-manager.js
7,Controller Drivers,"WebHID (DualSense, Switch Pro, Xbox), vendor-specific","controllers/dualsense-driver.js, switch-pro-driver.js, xbox-driver.js"
8,Player Feedback,"HUD, haptics, balance gauge, crash overlay","hud.js, haptics.js, arch-indicator.js"
9,Multiplayer Networking,"Rooms, relay, PeerJS, remote state, sync tracking","network-manager.js, remote-bike-state.js, contribution-tracker.js, shared-pedal-controller.js"
10,Video/PiP,"Camera streams, recording, partner video",game-recorder.js
11,Cloudflare Workers API,"REST routes, rate limiting, relay tokens","worker/leaderboard.js, worker/relay.js"
12,D1 Database,"Schema, migrations","worker/schema.sql, worker/migrations/"
13,Monetization,"Store, Stripe, licensing, promo codes","worker/store/*, js/license.js"
14,Auth & Identity,"Google Sign-In, Steam auth, JWT","js/auth.js, worker auth routes"
15,Analytics & Leaderboards,"Event tracking, dashboard, rankings","js/analytics.js, dashboard/index.html"
16,Achievements & Progression,"Unlocks, bike selection, customization","js/achievements.js, js/lobby.js, bike-presets.json"
17,Steam Distribution,"Steamworks, playtest, demo, achievements sync","steam/*.vdf, steamworks.js, electron/"
18,Desktop/Electron & TV Mode,"Large-screen build, gamepad-first UX","desktop/index.html, electron/main.js"
19,CI/CD & Deployment,"GitHub Actions, Pages, Workers deploy, Steam upload",".github/workflows/*"
20,Test & Diagnostic Pages,"Controller testing, relay testing, chromakey testing","test/*.html, controller/*.html"
